Meter S/N:, "12060310J2018R"
Sensor, Thermo, Single, DB25T 3, DB25 HBE 3
Date, 11/7/2019 3:01:59 PM
Units, W
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
6.1669376, -0.00220902194269001, 0, 32, UnderRange, 0
6.1669888, -0.00402309792116284, 0, 32, UnderRange, 0
6.1670400, 6.39597606658936, 0, 32, UnderRange, 0
6.1670912, 10.1876077651978, 0, 33, TriggerDetected| UnderRange, 0
6.1671424, 3.19361686706543, 0, 32, UnderRange, 0
6.1671936, -0.0195464976131916, 0, 32, UnderRange, 0
6.1672448, -0.008963274769485, 0, 32, UnderRange, 0
6.1672960, -0.000689482607413083, 0, 32, UnderRange, 0
6.1673472, -0.0107572684064507, 0, 32, UnderRange, 0
6.1673984, -0.0157108325511217, 0, 32, UnderRange, 0
6.1674496, -0.00751067558303475, 0, 32, UnderRange, 0
6.1675008, -0.00944524258375168, 0, 32, UnderRange, 0
6.1675520, -0.00287842284888029, 0, 32, UnderRange, 0
6.1676032, 0.00573676358908415, 0, 32, UnderRange, 0
6.1676544, -0.00285164662636817, 0, 32, UnderRange, 0
6.1677056, -0.00475943833589554, 0, 32, UnderRange, 0
6.1677568, -0.00362145761027932, 0, 32, UnderRange, 0
6.1678080, -0.0119086373597383, 0, 32, UnderRange, 0
6.1678592, -0.00813991110771894, 0, 32, UnderRange, 0
6.1679104, -0.0058037037961185, 0, 32, UnderRange, 0
6.1679616, -0.00439796224236488, 0, 32, UnderRange, 0
6.1680128, -0.0019077918259427, 0, 32, UnderRange, 0
6.1680640, 9.8004207611084, 0, 33, TriggerDetected| UnderRange, 0
6.1681152, 9.77820301055908, 0, 32, UnderRange, 0
6.1681664, -0.00198142603039742, 0, 32, UnderRange, 0
6.1682176, -0.00741695892065763, 0, 32, UnderRange, 0
6.1682688, -0.00807297229766846, 0, 32, UnderRange, 0
6.1683200, -0.00953895878046751, 0, 32, UnderRange, 0
6.1683712, -0.00105765310581774, 0, 32, UnderRange, 0
6.1684224, -0.0067341704852879, 0, 32, UnderRange, 0
6.1684736, -0.00946532469242811, 0, 32, UnderRange, 0
6.1685248, -0.00473266234621406, 0, 32, UnderRange, 0
6.1685760, -0.0133344605565071, 0, 32, UnderRange, 0
6.1686272, -0.00809305440634489, 0, 32, UnderRange, 0
6.1686784, -0.00736340694129467, 0, 32, UnderRange, 0
6.1687296, -0.00579031556844711, 0, 32, UnderRange, 0
6.1687808, -0.00978663749992847, 0, 32, UnderRange, 0
6.1688320, -0.00341394334100187, 0, 32, UnderRange, 0
6.1688832, -0.00564304739236832, 0, 32, UnderRange, 0
6.1689344, -0.000669400615151972, 0, 32, UnderRange, 0
6.1689856, -0.00481968466192484, 0, 32, UnderRange, 0
6.1690368, 3.19817543029785, 0, 32, UnderRange, 0
6.1690880, 10.1922130584717, 0, 33, TriggerDetected| UnderRange, 0
6.1691392, 6.17078971862793, 0, 32, UnderRange, 0
6.1691904, -0.00694837840273976, 0, 32, UnderRange, 0
6.1692416, 0.00263743847608566, 0, 32, UnderRange, 0
6.1692928, -0.00690821465104818, 0, 32, UnderRange, 0
6.1693440, -0.0129595967009664, 0, 32, UnderRange, 0
6.1693952, 0.00255711050704122, 0, 32, UnderRange, 0
6.1694464, -0.00802611373364925, 0, 32, UnderRange, 0
6.1694976, -0.0214275140315294, 0, 32, UnderRange, 0
6.1695488, -0.0167283229529858, 0, 32, UnderRange, 0
6.1696000, -0.0139770852401853, 0, 32, UnderRange, 0
6.1696512, -0.0221705492585897, 0, 32, UnderRange, 0
6.1697024, -0.0122835021466017, 0, 32, UnderRange, 0
6.1697536, -0.0102150542661548, 0, 32, UnderRange, 0
6.1698048, -0.016775181517005, 0, 32, UnderRange, 0
6.1698560, -0.0116877350956202, 0, 32, UnderRange, 0
6.1699072, -0.0117881447076797, 0, 32, UnderRange, 0
6.1699584, -0.00658020842820406, 0, 32, UnderRange, 0
6.1700096, -0.00945193693041801, 0, 32, UnderRange, 0
6.1700608, 6.7341570854187, 0, 32, UnderRange, 0
6.1701120, 10.1932182312012, 0, 33, TriggerDetected| UnderRange, 0
6.1701632, 2.83983850479126, 0, 32, UnderRange, 0
6.1702144, -0.0101748891174793, 0, 32, UnderRange, 0
6.1702656, -0.0120559055358171, 0, 32, UnderRange, 0
6.1703168, -0.0121830916032195, 0, 32, UnderRange, 0
6.1703680, -0.0219764225184917, 0, 32, UnderRange, 0
6.1704192, -0.0197272375226021, 0, 32, UnderRange, 0
6.1704704, -0.0146933440119028, 0, 32, UnderRange, 0
6.1705216, -0.00410342589020729, 0, 32, UnderRange, 0
6.1705728, -0.00579700991511345, 0, 32, UnderRange, 0
6.1706240, -0.0071023409254849, 0, 32, UnderRange, 0
6.1706752, -0.00483307288959622, 0, 32, UnderRange, 0
6.1707264, -0.015844713896513, 0, 32, UnderRange, 0
6.1707776, -0.0166613813489676, 0, 32, UnderRange, 0
6.1708288, -0.0032332050614059, 0, 32, UnderRange, 0
6.1708800, -0.00501381093636155, 0, 32, UnderRange, 0
6.1709312, -0.0126516716554761, 0, 32, UnderRange, 0
6.1709824, -0.0108108203858137, 0, 32, UnderRange, 0
6.1710336, -0.0030859368853271, 0, 32, UnderRange, 0
6.1710848, 10.1287479400635, 0, 33, TriggerDetected| UnderRange, 0
6.1711360, 9.65500068664551, 0, 32, UnderRange, 0
6.1711872, -0.0051677729934454, 0, 32, UnderRange, 0
6.1712384, -0.0135352816432714, 0, 32, UnderRange, 0
6.1712896, -0.00810644216835499, 0, 32, UnderRange, 0
6.1713408, -0.00338047323748469, 0, 32, UnderRange, 0
6.1713920, -0.00506066903471947, 0, 32, UnderRange, 0
6.1714432, -0.01080412697047, 0, 32, UnderRange, 0
6.1714944, -0.0088896406814456, 0, 32, UnderRange, 0
6.1715456, -0.00231612636707723, 0, 32, UnderRange, 0
6.1715968, -0.00172035954892635, 0, 32, UnderRange, 0
6.1716480, -0.00621873186901212, 0, 32, UnderRange, 0
6.1716992, -0.0128993503749371, 0, 32, UnderRange, 0
6.1717504, -0.00387582974508405, 0, 32, UnderRange, 0
6.1718016, -0.00420383596792817, 0, 32, UnderRange, 0
6.1718528, -0.00883608777076006, 0, 32, UnderRange, 0
6.1719040, -0.00404987391084433, 0, 32, UnderRange, 0
6.1719552, -0.00350096542388201, 0, 32, UnderRange, 0
6.1720064, -0.00526148919016123, 0, 32, UnderRange, 0
6.1720576, 3.30005145072937, 0, 32, UnderRange, 0
6.1721088, 10.1933450698853, 0, 33, TriggerDetected| UnderRange, 0
6.1721600, 6.28361701965332, 0, 32, UnderRange, 0
6.1722112, -0.00860179774463177, 0, 32, UnderRange, 0
6.1722624, -0.00498703494668007, 0, 32, UnderRange, 0
6.1723136, -0.00892980489879847, 0, 32, UnderRange, 0
6.1723648, -0.0108375968411565, 0, 32, UnderRange, 0
6.1724160, -0.00462555838748813, 0, 32, UnderRange, 0
6.1724672, -0.00743704102933407, 0, 32, UnderRange, 0
6.1725184, -0.0097598610445857, 0, 32, UnderRange, 0
6.1725696, -0.00669400673359632, 0, 32, UnderRange, 0
6.1726208, 0.00027445427258499, 0, 32, UnderRange, 0
6.1726720, -0.00446490244939923, 0, 32, UnderRange, 0
6.1727232, 0.00163333758246154, 0, 32, UnderRange, 0
6.1727744, 0.00027445427258499, 0, 32, UnderRange, 0
6.1728256, 0.00238306634128094, 0, 32, UnderRange, 0
6.1728768, -0.00400970969349146, 0, 32, UnderRange, 0
6.1729280, -0.00109112309291959, 0, 32, UnderRange, 0
6.1729792, -0.0112057672813535, 0, 32, UnderRange, 0
6.1730304, -0.00492009473964572, 0, 32, UnderRange, 0
6.1730816, 6.71136426925659, 0, 32, UnderRange, 0
6.1731328, 10.1994905471802, 0, 33, TriggerDetected| UnderRange, 0
6.1731840, 2.88751339912415, 0, 32, UnderRange, 0
6.1732352, -0.00396954594179988, 0, 32, UnderRange, 0
6.1732864, -0.00780521146953106, 0, 32, UnderRange, 0
6.1733376, -0.00230273813940585, 0, 32, UnderRange, 0
6.1733888, -0.00395615771412849, 0, 32, UnderRange, 0
6.1734400, -0.0073834890499711, 0, 32, UnderRange, 0
6.1734912, -0.00685466267168522, 0, 32, UnderRange, 0
6.1735424, -0.0104158744215965, 0, 32, UnderRange, 0
6.1735936, -0.0013254132354632, 0, 32, UnderRange, 0
6.1736448, -0.00431094039231539, 0, 32, UnderRange, 0
6.1736960, -0.00568321160972118, 0, 32, UnderRange, 0
6.1737472, -0.00247678230516613, 0, 32, UnderRange, 0
6.1737984, -0.00834742560982704, 0, 32, UnderRange, 0
6.1738496, -0.0152020882815123, 0, 32, UnderRange, 0
6.1739008, -0.00876245368272066, 0, 32, UnderRange, 0
6.1739520, -0.00360806938260794, 0, 32, UnderRange, 0
6.1740032, -0.00928458664566278, 0, 32, UnderRange, 0
6.1740544, -0.00857502222061157, 0, 32, UnderRange, 0
6.1741056, 10.0691509246826, 0, 33, TriggerDetected| UnderRange, 0
6.1741568, 9.64957714080811, 0, 32, UnderRange, 0
6.1742080, -0.000709564716089517, 0, 32, UnderRange, 0
6.1742592, -0.00947201903909445, 0, 32, UnderRange, 0
6.1743104, -0.00358129339292645, 0, 32, UnderRange, 0
6.1743616, -0.00538198137655854, 0, 32, UnderRange, 0
6.1744128, -0.00184754584915936, 0, 32, UnderRange, 0
6.1744640, -0.00456531252712011, 0, 32, UnderRange, 0
6.1745152, -0.00825371034443378, 0, 32, UnderRange, 0
6.1745664, -0.0040164040401578, 0, 32, UnderRange, 0
6.1746176, -0.00605807546526194, 0, 32, UnderRange, 0
6.1746688, -0.00524140661582351, 0, 32, UnderRange, 0
6.1747200, -0.00192117982078344, 0, 32, UnderRange, 0
6.1747712, -0.00203497777692974, 0, 32, UnderRange, 0
6.1748224, 0.00844783615320921, 0, 32, UnderRange, 0
6.1748736, 0.00230273813940585, 0, 32, UnderRange, 0
6.1749248, 0.00115136906970292, 0, 32, UnderRange, 0
6.1749760, 0.000997406896203756, 0, 32, UnderRange, 0
6.1750272, 0.00882270000874996, 0, 32, UnderRange, 0
6.1750784, 3.281662940979, 0, 32, UnderRange, 0
6.1751296, 10.2006282806396, 0, 33, TriggerDetected| UnderRange, 0
6.1751808, 6.09279775619507, 0, 32, UnderRange, 0
6.1752320, -0.0111589087173343, 0, 32, UnderRange, 0
6.1752832, -0.00775165949016809, 0, 32, UnderRange, 0
6.1753344, 0.00344071909785271, 0, 32, UnderRange, 0
6.1753856, -0.00532173505052924, 0, 32, UnderRange, 0
6.1754368, 0.000388252374250442, 0, 32, UnderRange, 0
6.1754880, 0.000220902205910534, 0, 32, UnderRange, 0
6.1755392, -0.00820015743374825, 0, 32, UnderRange, 0
6.1755904, -0.00727638509124517, 0, 32, UnderRange, 0
6.1756416, 0.00674086436629295, 0, 32, UnderRange, 0
6.1756928, 0.0024366183206439, 0, 32, UnderRange, 0
6.1757440, -0.00407664990052581, 0, 32, UnderRange, 0
6.1757952, -0.00423061242327094, 0, 32, UnderRange, 0
6.1758464, -0.0148473056033254, 0, 32, UnderRange, 0
6.1758976, -0.00919756479561329, 0, 32, UnderRange, 0
6.1759488, -0.000622542633209378, 0, 32, UnderRange, 0
6.1760000, -0.00105095899198204, 0, 32, UnderRange, 0
6.1760512, -0.00431763427332044, 0, 32, UnderRange, 0
6.1761024, 6.89606523513794, 0, 32, UnderRange, 0
6.1761536, 10.1966981887817, 0, 33, TriggerDetected| UnderRange, 0
6.1762048, 2.47890448570251, 0, 32, UnderRange, 0
6.1762560, -0.00768471928313375, 0, 32, UnderRange, 0
6.1763072, -0.00681449845433235, 0, 32, UnderRange, 0
6.1763584, -0.000702870660461485, 0, 32, UnderRange, 0
6.1764096, -0.0116341831162572, 0, 32, UnderRange, 0
6.1764608, -0.0113530354574323, 0, 32, UnderRange, 0
6.1765120, 0.000542214489541948, 0, 32, UnderRange, 0
6.1765632, -0.0109112309291959, 0, 32, UnderRange, 0
6.1766144, -0.0194059256464243, 0, 32, UnderRange, 0
6.1766656, -0.0125914253294468, 0, 32, UnderRange, 0
6.1767168, -0.0217287447303534, 0, 32, UnderRange, 0
6.1767680, 6.69400615151972E-05, 0, 32, UnderRange, 0
6.1768192, -0.0100811738520861, 0, 32, UnderRange, 0
6.1768704, -0.00199481379240751, 0, 32, UnderRange, 0
6.1769216, -0.0130198420956731, 0, 32, UnderRange, 0
6.1769728, -0.0105095906183124, 0, 32, UnderRange, 0
6.1770240, -0.0110584991052747, 0, 32, UnderRange, 0
6.1770752, 0.219650432467461, 0, 32, UnderRange, 0
6.1771264, 10.2021617889404, 0, 33, TriggerDetected| UnderRange, 0
6.1771776, 9.35349559783936, 0, 32, UnderRange, 0
6.1772288, -0.00722283264622092, 0, 32, UnderRange, 0
6.1772800, -0.00956573523581028, 0, 32, UnderRange, 0
6.1773312, -0.00404318002983928, 0, 32, UnderRange, 0
6.1773824, 0.00143921142444015, 0, 32, UnderRange, 0
6.1774336, -0.00174713565502316, 0, 32, UnderRange, 0
6.1774848, -0.00400970969349146, 0, 32, UnderRange, 0
6.1775360, -0.00028114827000536, 0, 32, UnderRange, 0
6.1775872, -0.00119153317064047, 0, 32, UnderRange, 0
6.1776384, 0.00366831547580659, 0, 32, UnderRange, 0
6.1776896, -0.00563635351136327, 0, 32, UnderRange, 0
6.1777408, -0.0003681703528855, 0, 32, UnderRange, 0
6.1777920, -0.00653335032984614, 0, 32, UnderRange, 0
6.1778432, -0.0126315904781222, 0, 32, UnderRange, 0
6.1778944, -0.00759769743308425, 0, 32, UnderRange, 0
6.1779456, -0.00408334424719214, 0, 32, UnderRange, 0
6.1779968, -0.00991382356733084, 0, 32, UnderRange, 0
6.1780480, -0.00448498409241438, 0, 32, UnderRange, 0
6.1780992, 3.6291286945343, 0, 32, UnderRange, 0
6.1781504, 10.2002201080322, 0, 33, TriggerDetected| UnderRange, 0
6.1782016, 5.75066709518433, 0, 32, UnderRange, 0
6.1782528, -0.00402979180216789, 0, 32, UnderRange, 0
6.1783040, -0.0122968899086118, 0, 32, UnderRange, 0
6.1783552, 0.00257049850188196, 0, 32, UnderRange, 0
6.1784064, -0.00916409492492676, 0, 32, UnderRange, 0
6.1784576, -0.00423061242327094, 0, 32, UnderRange, 0
6.1785088, -0.00672747660428286, 0, 32, UnderRange, 0
6.1785600, -0.015717526897788, 0, 32, UnderRange, 0
6.1786112, -0.00937160849571228, 0, 32, UnderRange, 0
6.1786624, -0.00786545779556036, 0, 32, UnderRange, 0
6.1787136, -0.00807966571301222, 0, 32, UnderRange, 0
6.1787648, -0.00441135000437498, 0, 32, UnderRange, 0
6.1788160, -0.00634591840207577, 0, 32, UnderRange, 0
6.1788672, -0.0108242081478238, 0, 32, UnderRange, 0
6.1789184, -0.00660029007121921, 0, 32, UnderRange, 0
6.1789696, -0.000321312312735245, 0, 32, UnderRange, 0
6.1790208, -0.0057300697080791, 0, 32, UnderRange, 0
6.1790720, -0.0127721643075347, 0, 32, UnderRange, 0
6.1791232, 7.22725772857666, 0, 32, UnderRange, 0
6.1791744, 10.192193031311, 0, 33, TriggerDetected| UnderRange, 0
6.1792256, 2.13686084747314, 0, 32, UnderRange, 0
6.1792768, -0.00155970349442214, 0, 32, UnderRange, 0
6.1793280, -0.00931805651634932, 0, 32, UnderRange, 0
6.1793792, 0.00242323032580316, 0, 32, UnderRange, 0
6.1794304, -0.00575015135109425, 0, 32, UnderRange, 0
6.1794816, -0.00730985496193171, 0, 32, UnderRange, 0
6.1795328, -0.0142381517216563, 0, 32, UnderRange, 0
6.1795840, -0.0156104229390621, 0, 32, UnderRange, 0
6.1796352, -0.0179801005870104, 0, 32, UnderRange, 0
6.1796864, -0.0176587887108326, 0, 32, UnderRange, 0
6.1797376, -0.0189975909888744, 0, 32, UnderRange, 0
6.1797888, -0.00329345115460455, 0, 32, UnderRange, 0
6.1798400, -0.00228265626356006, 0, 32, UnderRange, 0
6.1798912, -0.00695507228374481, 0, 32, UnderRange, 0
6.1799424, -0.00980002526193857, 0, 32, UnderRange, 0
6.1799936, -0.00892980489879847, 0, 32, UnderRange, 0
6.1800448, -0.00601791171357036, 0, 32, UnderRange, 0
6.1800960, 0.573977589607239, 0, 32, UnderRange, 0
6.1801472, 10.2018404006958, 0, 33, TriggerDetected| UnderRange, 0
6.1801984, 9.01370716094971, 0, 32, UnderRange, 0
6.1802496, -0.0136959375813603, 0, 32, UnderRange, 0
6.1803008, -0.00472596846520901, 0, 32, UnderRange, 0
6.1803520, -0.0048866244032979, 0, 32, UnderRange, 0
6.1804032, -0.0112325428053737, 0, 32, UnderRange, 0
6.1804544, -0.012270113453269, 0, 32, UnderRange, 0
6.1805056, -0.0121830916032195, 0, 32, UnderRange, 0
6.1805568, -0.0198878925293684, 0, 32, UnderRange, 0
6.1806080, -0.0154229905456305, 0, 32, UnderRange, 0
6.1806592, -0.0136758545413613, 0, 32, UnderRange, 0
6.1807104, -0.0121630094945431, 0, 32, UnderRange, 0
6.1807616, -0.00832065008580685, 0, 32, UnderRange, 0
6.1808128, 0.00151953950989991, 0, 32, UnderRange, 0
6.1808640, 0.00142582331318408, 0, 32, UnderRange, 0
6.1809152, -0.0121964793652296, 0, 32, UnderRange, 0
6.1809664, -0.0148941641673446, 0, 32, UnderRange, 0
6.1810176, -0.0121897850185633, 0, 32, UnderRange, 0
6.1810688, -0.00652665598317981, 0, 32, UnderRange, 0
6.1811200, 4.01998472213745, 0, 32, UnderRange, 0
6.1811712, 10.1984729766846, 0, 33, TriggerDetected| UnderRange, 0
6.1812224, 5.36275577545166, 0, 32, UnderRange, 0
6.1812736, -0.0131068648770452, 0, 32, UnderRange, 0
6.1813248, -0.00666723027825356, 0, 32, UnderRange, 0
6.1813760, -0.0143787255510688, 0, 32, UnderRange, 0
6.1814272, -0.00765794329345226, 0, 32, UnderRange, 0
6.1814784, -0.00748389912769198, 0, 32, UnderRange, 0
6.1815296, -0.0121563160791993, 0, 32, UnderRange, 0
6.1815808, -0.0140507193282247, 0, 32, UnderRange, 0
6.1816320, -0.0155836474150419, 0, 32, UnderRange, 0
6.1816832, -0.00941846705973148, 0, 32, UnderRange, 0
6.1817344, 0.00011379810894141, 0, 32, UnderRange, 0
6.1817856, -0.00218224618583918, 0, 32, UnderRange, 0
6.1818368, -0.00870890263468027, 0, 32, UnderRange, 0
6.1818880, -0.00577692734077573, 0, 32, UnderRange, 0
6.1819392, -0.00929797440767288, 0, 32, UnderRange, 0
6.1819904, -0.0119822714477777, 0, 32, UnderRange, 0
6.1820416, -0.0086084920912981, 0, 32, UnderRange, 0
6.1820928, -0.00313279498368502, 0, 32, UnderRange, 0
6.1821440, 7.53380298614502, 0, 33, TriggerDetected| UnderRange, 0
6.1821952, 10.1978368759155, 0, 32, UnderRange, 0
6.1822464, 1.97318553924561, 0, 32, UnderRange, 0
6.1822976, -0.0148138366639614, 0, 32, UnderRange, 0
6.1823488, -0.00965945143252611, 0, 32, UnderRange, 0
6.1824000, -0.0155568700283766, 0, 32, UnderRange, 0
6.1824512, -0.0126315904781222, 0, 32, UnderRange, 0
6.1825024, -0.0162195768207312, 0, 32, UnderRange, 0
6.1825536, -0.0213605742901564, 0, 32, UnderRange, 0
6.1826048, -0.0150079615414143, 0, 32, UnderRange, 0
6.1826560, -0.00512760924175382, 0, 32, UnderRange, 0
6.1827072, -0.00569659937173128, 0, 32, UnderRange, 0
6.1827584, -0.0135620571672916, 0, 32, UnderRange, 0
6.1828096, -0.0130466185510159, 0, 32, UnderRange, 0
6.1828608, -0.0178663022816181, 0, 32, UnderRange, 0
6.1829120, -0.00994729436933994, 0, 32, UnderRange, 0
